2021-07-15 15:04:30,862 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 15:04:54,234 - [WARNING] -  __main__ - (get_inn.py).rts_open_file(499) - <rts_open_file>list index out of range
2021-07-15 15:05:18,029 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:05:25,791 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 15:05:25,798 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 15:05:25,799 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).complan_site(803) - <ошибка> 'comfex'
2021-07-15 15:05:25,799 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 15:05:42,408 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:05:49,671 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 15:05:49,684 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 15:05:49,685 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 15:05:50,289 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0816500000621007929, list index out of range
2021-07-15 15:06:05,108 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:06:12,207 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 15:06:12,224 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 15:06:13,493 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 15:06:13,510 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 15:06:14,752 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 15:06:14,766 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
